player_name,birthdate,turned_pro,weight_kg,height_cm,handedness,backhand,percentage_aces,percentage_df,percentage_1stwon,percentage_bpsaved,percentage_bpobtained,percentage_bpconverted
acuna_r.,1958.01.13,0.0,68.0,175.0,,,,,,,,
abdullahi_s.,1960.02.02,0.0,0.0,0.0,,,,,,,,
aerts_n.,1963.04.25,0.0,75.0,188.0,,,0.02168069191210846,0.0703015427769986,0.6955548448992644,0.7386363636363636,0.06385281385281386,0.35
adams_e.,1959.06.15,0.0,73.0,178.0,,,,,,,,
agenor_r.,1964.11.13,1983.0,82.0,180.0,,,0.04247816185807893,0.02486038544678998,0.6517854066036095,0.5368940458589366,0.08883577605222105,0.43880409447787877
aguilera_j.,1962.03.22,0.0,68.0,183.0,,,0.03453858170428141,0.04555849437826438,0.6411929574369012,0.4499586405088797,0.06481536654777009,0.4611331569664902
albert_m.,,0.0,0.0,0.0,,,,,,,,
alciati_m.,,0.0,0.0,0.0,,,,,,,,
akel_r.,1962.02.12,0.0,0.0,0.0,,,,,,,,
alexander_j.,1951.07.04,0.0,82.0,191.0,,,,,,,,
alfred_l.,1962.08.27,0.0,73.0,180.0,,,,,,,,
allan_t.,1955.08.17,0.0,77.0,178.0,,,,,,,,
ampon_m.,1956.11.30,0.0,0.0,0.0,,,,,,,,
allgardh_c.,1967.02.20,1983.0,77.0,191.0,,,0.05513466009510416,0.03566996563065568,0.6506114861343314,0.4213962508080155,0.06303633710175767,0.3007142857142857
amritraj_a.,1952.03.20,0.0,77.0,185.0,,,,,,,,
amritraj_v.,1953.12.14,0.0,86.0,193.0,,,0.0,0.0,0.4117647058823529,0.25,0.12121212121212122,0.375
carlosandrade_j.,1957.02.22,0.0,0.0,0.0,,,,,,,,
andrews_a.,1959.01.01,0.0,82.0,185.0,,,,,,,,
anger_m.,1963.06.20,1984.0,77.0,188.0,,,,,,,,
annacone_p.,1963.03.20,1984.0,79.0,185.0,,,0.08082322467346274,0.07018836007091346,0.7018588167737062,0.5271006771006771,0.05394910135776063,0.37807692307692314
antonitsch_a.,1966.02.08,1988.0,85.0,188.0,,,0.05626085936400845,0.04307522495575189,0.6953899737508171,0.5983477917582093,0.08327897624499042,0.40545782969842775
aprili_c.,1964.11.13,0.0,80.0,191.0,,,,,,,,
arguello_r.,1963.05.12,0.0,66.0,173.0,,,,,,,,
arias_j.,1964.08.16,1980.0,70.0,175.0,,,0.02640039055782102,0.039612759227596904,0.6325435187566897,0.5593634666858843,0.09604889366492764,0.4355201920051543
armellini_m.,1960.08.17,0.0,85.0,188.0,,,,,,,,
arrese_j.,1964.08.29,1982.0,64.0,175.0,,,0.015943889231964343,0.027249897570060383,0.6253416167296113,0.530879211889711,0.10528574211881296,0.48085906381272125
arraya_p.,1961.10.21,1980.0,73.0,180.0,,,0.042851053697928014,0.03650475761931807,0.6505811830349914,0.5606936209877386,0.08601919460825941,0.4183927603675503
artaldi_e.,,0.0,0.0,0.0,,,,,,,,
avendano_j.,1961.01.29,0.0,73.0,178.0,,,,,,,,
azar_r.,1966.03.21,1984.0,77.0,185.0,,,0.02359363703577811,0.04305232484674281,0.5986875962655009,0.5106843199934096,0.08301204372152475,0.4302538731110159
acioly_r.,1964.02.04,1986.0,82.0,180.0,,,0.04398009950248756,0.09144278606965174,0.6810724289715886,0.4583333333333333,0.10280468119451171,0.28205128205128205
alvarez_a.,,0.0,0.0,0.0,,,,,,,,
amaya_v.,1954.07.02,0.0,0.0,201.0,,,,,,,,
