,year,date,round,winner,loser,games_played,court,surface,tourney_singles_draw,tournoi_unique_id,id_winner,id_loser,w_rank,w_points,l_rank,l_points
58962,2008,2008-01-07,1,kohlschreiber_p.,carlos ferrero_j.,25,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-kohlschreiber_p.,2008-01-07-carlosferrero_j.,31,940,,
58963,2008,2008-01-07,2,kohlschreiber_p.,monaco_j.,15,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-kohlschreiber_p.,2008-01-07-monaco_j.,31,940,23,1350
58964,2008,2008-01-07,2,carlos ferrero_j.,benneteau_j.,19,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-carlosferrero_j.,2008-01-07-benneteau_j.,,,74,521
58965,2008,2008-01-07,3,benneteau_j.,ferrer_d.,16,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-benneteau_j.,2008-01-07-ferrer_d.,74,521,5,2750
58966,2008,2008-01-07,3,monaco_j.,llodra_m.,36,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-monaco_j.,2008-01-07-llodra_m.,23,1350,54,619
58967,2008,2008-01-07,3,carlos ferrero_j.,massu_n.,29,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-carlosferrero_j.,2008-01-07-massu_n.,,,80,514
58968,2008,2008-01-07,3,kohlschreiber_p.,mayer_f.,19,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-kohlschreiber_p.,2008-01-07-mayer_f.,31,940,56,611
58969,2008,2008-01-07,4,ferrer_d.,roitman_s.,20,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-ferrer_d.,2008-01-07-roitman_s.,5,2750,70,537
58970,2008,2008-01-07,4,mayer_f.,ignacio chela_j.,22,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-mayer_f.,2008-01-07-ignaciochela_j.,56,611,,
58971,2008,2008-01-07,4,monaco_j.,rochus_o.,18,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-monaco_j.,2008-01-07-rochus_o.,23,1350,55,616
58972,2008,2008-01-07,4,carlos ferrero_j.,melzer_j.,22,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-carlosferrero_j.,2008-01-07-melzer_j.,,,62,590
58973,2008,2008-01-07,4,benneteau_j.,almagro_n.,26,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-benneteau_j.,2008-01-07-almagro_n.,74,521,29,965
58974,2008,2008-01-07,4,kohlschreiber_p.,cilic_m.,32,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-kohlschreiber_p.,2008-01-07-cilic_m.,31,940,59,605
58975,2008,2008-01-07,4,llodra_m.,montanes_a.,19,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-llodra_m.,2008-01-07-montanes_a.,54,619,45,681
58976,2008,2008-01-07,4,massu_n.,malisse_x.,20,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-massu_n.,2008-01-07-malisse_x.,80,514,165,255
58977,2008,2008-01-07,5,ferrer_d.,hernandez_o.,15,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-ferrer_d.,2008-01-07-hernandez_o.,5,2750,60,602
58978,2008,2008-01-07,5,ignacio chela_j.,king-turner_d.,32,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-ignaciochela_j.,2008-01-07-king-turner_d.,,,,
58979,2008,2008-01-07,5,monaco_j.,johansson_t.,19,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-monaco_j.,2008-01-07-johansson_t.,23,1350,49,635
58980,2008,2008-01-07,5,carlos ferrero_j.,levine_j.,17,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-carlosferrero_j.,2008-01-07-levine_j.,,,170,242
58981,2008,2008-01-07,5,malisse_x.,nieminen_j.,22,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-malisse_x.,2008-01-07-nieminen_j.,165,255,26,1075
58982,2008,2008-01-07,5,almagro_n.,acasuso_j.,19,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-almagro_n.,2008-01-07-acasuso_j.,29,965,64,581
58983,2008,2008-01-07,5,kohlschreiber_p.,russell_m.,20,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-kohlschreiber_p.,2008-01-07-russell_m.,31,940,101,426
58984,2008,2008-01-07,5,montanes_a.,statham_r.,20,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-montanes_a.,2008-01-07-statham_r.,45,681,557,40
58985,2008,2008-01-07,5,benneteau_j.,sela_d.,23,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-benneteau_j.,2008-01-07-sela_d.,74,521,66,573
58986,2008,2008-01-07,5,cilic_m.,cakl_t.,19,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-cilic_m.,2008-01-07-cakl_t.,59,605,283,135
58987,2008,2008-01-07,5,llodra_m.,lee_h.,17,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-llodra_m.,2008-01-07-lee_h.,54,619,,
58988,2008,2008-01-07,5,massu_n.,jones_g.,18,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-massu_n.,2008-01-07-jones_g.,80,514,383,87
58989,2008,2008-01-07,5,mayer_f.,querrey_s.,21,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-mayer_f.,2008-01-07-querrey_s.,56,611,63,588
58990,2008,2008-01-07,5,melzer_j.,eschauer_w.,26,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-melzer_j.,2008-01-07-eschauer_w.,62,590,65,580
58991,2008,2008-01-07,5,rochus_o.,berrer_m.,31,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-rochus_o.,2008-01-07-berrer_m.,55,616,52,621
58992,2008,2008-01-07,5,roitman_s.,rosol_l.,20,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-roitman_s.,2008-01-07-rosol_l.,70,537,271,141
58993,2008,2008-01-07,6,rosol_l.,horna_l.,17,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-rosol_l.,2008-01-07-horna_l.,271,141,75,520
58994,2008,2008-01-07,6,massu_n.,levine_j.,19,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-massu_n.,2008-01-07-levine_j.,80,514,170,242
58995,2008,2008-01-07,6,cakl_t.,baker_j.,16,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-cakl_t.,2008-01-07-baker_j.,283,135,217,192
58996,2008,2008-01-07,6,jones_g.,brizzi_a.,23,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-jones_g.,2008-01-07-brizzi_a.,383,87,290,133
58997,2008,2008-01-07,7,horna_l.,cermak_f.,13,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-horna_l.,2008-01-07-cermak_f.,75,520,871,12
58998,2008,2008-01-07,7,cakl_t.,vassallo arguello_m.,21,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-cakl_t.,2008-01-07-vassalloarguello_m.,283,135,,
58999,2008,2008-01-07,7,massu_n.,aldi_f.,18,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-massu_n.,2008-01-07-aldi_f.,80,514,251,162
59000,2008,2008-01-07,7,brizzi_a.,vanek_j.,17,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-brizzi_a.,2008-01-07-vanek_j.,290,133,99,431
59001,2008,2008-01-07,7,levine_j.,angel lopez jaen_m.,17,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-levine_j.,2008-01-07-angellopezjaen_m.,170,242,,
59002,2008,2008-01-07,7,baker_j.,jun_w.,25,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-baker_j.,2008-01-07-jun_w.,217,192,,
59003,2008,2008-01-07,7,rosol_l.,middelkoop_m.,21,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-rosol_l.,2008-01-07-middelkoop_m.,271,141,242,168
59004,2008,2008-01-07,7,jones_g.,vejmelka_a.,18,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-jones_g.,2008-01-07-vejmelka_a.,383,87,386,86
59005,2008,2008-01-07,8,vejmelka_a.,warburg_s.,26,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-vejmelka_a.,2008-01-07-warburg_s.,386,86,172,241
59006,2008,2008-01-07,8,baker_j.,sa_a.,17,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-baker_j.,2008-01-07-sa_a.,217,192,534,44
59007,2008,2008-01-07,8,middelkoop_m.,martin_d.,23,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-middelkoop_m.,2008-01-07-martin_d.,242,168,1129,5
59008,2008,2008-01-07,8,aldi_f.,colenbrander_m.,15,Outdoor,Hard,32,2008-auckland-hard,2008-01-07-aldi_f.,2008-01-07-colenbrander_m.,251,162,,
