,year,date,round,winner,loser,games_played,court,surface,tourney_singles_draw,tournoi_unique_id,id_winner,id_loser,w_rank,w_points,l_rank,l_points
86004,2014,2014-01-06,1,isner_j.,lu_y.,26,Outdoor,Hard,28,2014-auckland-hard,2014-01-06-isner_j.,2014-01-06-lu_y.,14,2150,,
86005,2014,2014-01-06,2,lu_y.,ferrer_d.,23,Outdoor,Hard,28,2014-auckland-hard,2014-01-06-lu_y.,2014-01-06-ferrer_d.,,,3,5800
86006,2014,2014-01-06,2,isner_j.,bautista agut_r.,32,Outdoor,Hard,28,2014-auckland-hard,2014-01-06-isner_j.,2014-01-06-bautistaagut_r.,14,2150,,
86007,2014,2014-01-06,3,ferrer_d.,garcia-lopez_g.,31,Outdoor,Hard,28,2014-auckland-hard,2014-01-06-ferrer_d.,2014-01-06-garcia-lopez_g.,3,5800,,
86008,2014,2014-01-06,3,isner_j.,kohlschreiber_p.,39,Outdoor,Hard,28,2014-auckland-hard,2014-01-06-isner_j.,2014-01-06-kohlschreiber_p.,14,2150,22,1525
86009,2014,2014-01-06,3,bautista agut_r.,sock_j.,16,Outdoor,Hard,28,2014-auckland-hard,2014-01-06-bautistaagut_r.,2014-01-06-sock_j.,,,100,545
86010,2014,2014-01-06,3,lu_y.,johnson_s.,20,Outdoor,Hard,28,2014-auckland-hard,2014-01-06-lu_y.,2014-01-06-johnson_s.,,,160,327
86011,2014,2014-01-06,4,ferrer_d.,young_d.,29,Outdoor,Hard,28,2014-auckland-hard,2014-01-06-ferrer_d.,2014-01-06-young_d.,3,5800,96,563
86012,2014,2014-01-06,4,sock_j.,haas_t.,20,Outdoor,Hard,28,2014-auckland-hard,2014-01-06-sock_j.,2014-01-06-haas_t.,100,545,12,2435
86013,2014,2014-01-06,4,isner_j.,lacko_l.,30,Outdoor,Hard,28,2014-auckland-hard,2014-01-06-isner_j.,2014-01-06-lacko_l.,14,2150,90,595
86014,2014,2014-01-06,4,johnson_s.,anderson_k.,22,Outdoor,Hard,28,2014-auckland-hard,2014-01-06-johnson_s.,2014-01-06-anderson_k.,160,327,20,1685
86015,2014,2014-01-06,4,kohlschreiber_p.,zeballos_h.,18,Outdoor,Hard,28,2014-auckland-hard,2014-01-06-kohlschreiber_p.,2014-01-06-zeballos_h.,22,1525,66,710
86016,2014,2014-01-06,4,bautista agut_r.,paire_b.,19,Outdoor,Hard,28,2014-auckland-hard,2014-01-06-bautistaagut_r.,2014-01-06-paire_b.,,,28,1300
86017,2014,2014-01-06,4,garcia-lopez_g.,giraldo_s.,30,Outdoor,Hard,28,2014-auckland-hard,2014-01-06-garcia-lopez_g.,2014-01-06-giraldo_s.,,,68,703
86018,2014,2014-01-06,4,lu_y.,klahn_b.,30,Outdoor,Hard,28,2014-auckland-hard,2014-01-06-lu_y.,2014-01-06-klahn_b.,,,95,568
86019,2014,2014-01-06,5,kohlschreiber_p.,carreno busta_p.,29,Outdoor,Hard,28,2014-auckland-hard,2014-01-06-kohlschreiber_p.,2014-01-06-carrenobusta_p.,22,1525,,
86020,2014,2014-01-06,5,paire_b.,przysiezny_m.,18,Outdoor,Hard,28,2014-auckland-hard,2014-01-06-paire_b.,2014-01-06-przysiezny_m.,28,1300,63,730
86021,2014,2014-01-06,5,garcia-lopez_g.,haase_r.,35,Outdoor,Hard,28,2014-auckland-hard,2014-01-06-garcia-lopez_g.,2014-01-06-haase_r.,,,44,977
86022,2014,2014-01-06,5,klahn_b.,brands_d.,31,Outdoor,Hard,28,2014-auckland-hard,2014-01-06-klahn_b.,2014-01-06-brands_d.,95,568,57,779
86023,2014,2014-01-06,5,bautista agut_r.,gimeno-traver_d.,26,Outdoor,Hard,28,2014-auckland-hard,2014-01-06-bautistaagut_r.,2014-01-06-gimeno-traver_d.,,,,
86024,2014,2014-01-06,5,giraldo_s.,montanes_a.,20,Outdoor,Hard,28,2014-auckland-hard,2014-01-06-giraldo_s.,2014-01-06-montanes_a.,68,703,59,766
86025,2014,2014-01-06,5,johnson_s.,baghdatis_m.,35,Outdoor,Hard,28,2014-auckland-hard,2014-01-06-johnson_s.,2014-01-06-baghdatis_m.,160,327,109,515
86026,2014,2014-01-06,5,lacko_l.,statham_r.,16,Outdoor,Hard,28,2014-auckland-hard,2014-01-06-lacko_l.,2014-01-06-statham_r.,90,595,288,155
86027,2014,2014-01-06,5,lu_y.,sijsling_i.,25,Outdoor,Hard,28,2014-auckland-hard,2014-01-06-lu_y.,2014-01-06-sijsling_i.,,,69,697
86028,2014,2014-01-06,5,sock_j.,mannarino_a.,19,Outdoor,Hard,28,2014-auckland-hard,2014-01-06-sock_j.,2014-01-06-mannarino_a.,100,545,71,692
86029,2014,2014-01-06,5,young_d.,delbonis_f.,20,Outdoor,Hard,28,2014-auckland-hard,2014-01-06-young_d.,2014-01-06-delbonis_f.,96,563,54,826
86030,2014,2014-01-06,5,zeballos_h.,volandri_f.,19,Outdoor,Hard,28,2014-auckland-hard,2014-01-06-zeballos_h.,2014-01-06-volandri_f.,66,710,70,694
86031,2014,2014-01-06,6,gimeno-traver_d.,lavie_s.,16,Outdoor,Hard,28,2014-auckland-hard,2014-01-06-gimeno-traver_d.,2014-01-06-lavie_s.,,,2152,1
86032,2014,2014-01-06,6,lacko_l.,venus_m.,16,Outdoor,Hard,28,2014-auckland-hard,2014-01-06-lacko_l.,2014-01-06-venus_m.,90,595,399,99
86033,2014,2014-01-06,6,young_d.,sitak_a.,23,Outdoor,Hard,28,2014-auckland-hard,2014-01-06-young_d.,2014-01-06-sitak_a.,96,563,591,48
86034,2014,2014-01-06,6,klahn_b.,johnson_s.,26,Outdoor,Hard,28,2014-auckland-hard,2014-01-06-klahn_b.,2014-01-06-johnson_s.,95,568,160,327
86035,2014,2014-01-06,7,gimeno-traver_d.,dlouhy_l.,14,Outdoor,Hard,28,2014-auckland-hard,2014-01-06-gimeno-traver_d.,2014-01-06-dlouhy_l.,,,,
